Region Name,Region Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Africa Eastern and Southern,AFE,130692579,134169237,137835590,141630546,145605995,149742351,153955516,158313235,162875171,167596160,172475766,177503186,182599092,187901657,193512956,199284304,205202669,211120911,217481420,224315978,230967858,237937461,245386717,252779730,260209149,267938123,276035920,284490394,292795186,301124880,309890664,318544083,326933522,335625136,344418362,353466601,362985802,372352230,381715600,391486231,401600588,412001885,422741118,433807484,445281555,457153837,469508516,482406426,495748900,509410477,523459657,537792950,552530654,567891875,583650827,600008150,616377331,632746296,649756874,667242712,685112705,702976832
Africa Western and Central,AFW,97256290,99314028,101445032,103667517,105959979,108336203,110798486,113319950,115921723,118615741,121424797,124336039,127364044,130563107,133953892,137548613,141258400,145122851,149206663,153459665,157825609,162323313,167023385,171566640,176054495,180817312,185720244,190759952,195969722,201392200,206739024,212172888,217966101,223788766,229675775,235861484,242200260,248713095,255482918,262397030,269611898,277160097,284952322,292977949,301265247,309824829,318601484,327612838,336893835,346475221,356337762,366489204,376797999,387204553,397855507,408690375,419778384,431138704,442646825,454306063,466189102,478185907
Arab World,ARB,93359407,95760348,98268683,100892507,103618568,106444103,109394536,112499764,115729597,119061868,122475578,125979765,129605560,133384981,137372356,141756318,146815543,151960544,156741680,162014425,167707208,173118753,178587926,184342569,190162096,195956917,201916517,207894127,213455083,219021375,225923327,230837072,236598334,242994250,249596194,255803349,261953764,268158920,274376380,280650496,287065982,293512340,300018650,306573087,313249616,320558754,328703057,337498222,346630443,355754908,364427661,372351065,380383408,389131555,397922915,406501999,415077960,423664839,432545676,441467739,449228296,456520777
Central Europe and the Baltics,CEB,91401764,92232738,93009498,93840016,94715795,95440988,96146336,97043270,97884022,98606630,99134548,99635258,100357161,101112680,101939916,102860571,103776068,104616884,105329397,105948616,106541316,107129392,107730380,108297837,108838073,109338285,109824166,110296425,110686740,110801640,110743128,110469467,110111454,110041924,110021594,109864246,109626194,109422013,109238340,109060951,108447824,107660041,106959751,106624167,106331716,106041911,105772481,105378748,105001883,104800475,104421447,104174038,103935318,103713726,103496179,103257886,102994278,102740078,102538451,102398537,102180124,101430997
East Asia & Pacific,EAS,1043333636,1045203037,1059600211,1085398906,1110819272,1136927045,1166227679,1194567141,1224255729,1255933616,1288490485,1322732627,1354211283,1384704173,1413718269,1439944265,1464087148,1486953865,1510060320,1533514709,1556403010,1580048609,1605925794,1631735726,1656258164,1681267266,1707611028,1735427884,1763555005,1791156275,1818247576,1844603995,1869453624,1893594516,1917553356,1940892820,1964042971,1986768093,2008680261,2028993034,2048148696,2066530023,2083969920,2100610344,2116651449,2132517760,2148405823,2164155292,2179914111,2195169711,2210203758,2225992094,2243776727,2261274500,2278232287,2294507020,2310721864,2327134580,2341387076,2353862247,2363940425,2370204347
Europe & Central Asia,ECS,666273660,673957844,681809362,689682704,697559598,705233118,712077088,718884137,725451120,731787358,737398504,742959749,749086046,755000965,760680926,766169722,771592697,776918691,782220413,787502492,792890531,798088129,802876253,807523838,812373901,817313920,822429830,827666924,832965846,837807042,842030509,846364518,849816712,852735458,854892657,856511549,858209225,859711482,860876126,861848594,862786211,863909133,865474170,867701442,870270838,872913705,875627934,878767025,882357452,885846236,889222824,891279641,894762079,899035925,903601049,908123143,912374705,915855416,918782553,921179725,923103879,923777214
European Union,EUU,356947129,359937892,362998792,366152978,369387359,372533839,375563155,378512582,381280912,383958527,386116472,388229403,390859355,393386261,395778659,398096151,400211366,402170665,404056840,405879948,407760829,409490677,410875285,411956706,412891310,413866961,414996545,416199247,417528527,418925771,420308868,421744728,422972438,424347768,425406851,426212138,426906931,427549432,428122323,428828749,429342455,429910140,430898141,432434810,434059923,435600393,437014860,438484072,439892213,440934530,441552554,440769682,441419873,442496175,443601373,444570054,445515422,446215182,447001100,447367191,447692315,447199800
Latin America & Caribbean,LCN,219142626,225304612,231638540,238127927,244742056,251458185,258225265,265030167,271885703,278797542,285779012,292852914,300036114,307345195,314759757,322249100,329807630,337531513,345450768,353452209,361451180,369321289,377189872,385189898,393227113,401251731,409259052,417266298,425320442,433393694,441597528,449847635,458008075,466139063,474258790,482331291,490304061,498199382,506010566,513714410,521281149,528688278,535935546,542976557,549897638,556739532,563424119,569972223,576386180,582738079,588873862,595510008,602139396,608642242,615046755,621390109,627668470,633797190,639628226,645295804,650534967,654981699
Middle East & North Africa,MEA,104958259,107670788,110538003,113518054,116624655,119831991,123155200,126678043,130258116,133970600,137811201,141732410,145744541,149964066,154334030,159064212,164465177,169960807,174922290,180155296,186021685,192641039,199419033,205927091,212683895,219522781,226490767,233512587,240428079,247406122,256203998,263445808,270652251,276897626,282903612,289154944,295366235,301680248,308041622,314472124,321037453,327691655,333949565,340215354,347044925,354462370,362633997,371324802,380294099,389332369,397997557,406045323,414117603,422790409,431664579,440506473,448917409,456885486,465073490,473201775,479966649,486167363
North America,NAC,198624756,202007500,205198600,208253700,211262900,214031100,216659000,219176000,221503000,223759000,226431000,229677632,232168663,234454577,236715369,239169275,241538008,244018243,246601803,249310344,251795337,254340965,256836391,259214381,261488476,263823014,266290660,268793450,271349094,274154622,277373464,281077441,284943859,288662674,292185983,295640057,299064347,302623445,306070116,309502571,312909974,316052361,319048184,321815286,324809693,327824506,331015609,334185120,337406357,340466060,343397156,345987373,348656682,351207902,353888902,356507139,359245796,361731237,363967201,365995094,369602177,370203720
South Asia,SAS,571283033,584883506,598869387,613229525,627943361,642724630,657462990,672488495,688104253,704208559,720496162,736228624,752485568,770165966,788296824,806685026,825242937,844313926,863971060,884140063,905085264,926290449,948106347,971004522,994421612,1018226720,1042259867,1066468674,1091108954,1116263876,1141434379,1166599697,1192502803,1219279298,1246240229,1272943087,1299452085,1326029761,1352853147,1379867738,1406946728,1434306106,1462021914,1489278936,1515599723,1541135031,1565718156,1589218004,1612407426,1636052663,1660139325,1684436757,1708114582,1731137145,1753568847,1775178483,1796850154,1818868706,1840534093,1861598514,1882531620,1901911604
Sub-Saharan Africa,SSF,227948869,233483265,239280622,245298063,251565974,258078554,264754002,271633185,278796894,286211901,293900563,301839225,309963136,318464764,327466848,336832917,346461069,356243762,366688083,377775643,388793467,400260774,412410102,424346370,436263644,448755435,461756164,475250346,488764908,502517080,516629688,530716971,544899623,559413902,574094137,589328085,605186062,621065325,637198518,653883261,671212486,689161982,707693440,726785433,746546802,766978666,788110000,810019264,832642735,855885698,879797419,904282154,929328653,955096428,981506334,1008698525,1036155715,1063885000,1092403699,1121548775,1151301807,1181162739
